id,labels,parents,values
Financials|Asset Management|BIT,Financials,Asset Management|BIT,-0.33
Industrials|Space and Satellite Technology|NASDAQ,Industrials,Space and Satellite Technology|NASDAQ,-9.49
Communication Services|Social Media|NASDAQ,Communication Services,Social Media|NASDAQ,-2.46
Consumer Defensive|Food and Beverage|XETRA,Consumer Defensive,Food and Beverage|XETRA,2.08
Consumer Cyclical|Internet Retail|XETRA,Consumer Cyclical,Internet Retail|XETRA,0.47
Industrials|Shipbuilding|BIT,Industrials,Shipbuilding|BIT,4.18
Information Technology|Electronic Equipment Instruments and Components|NYSE,Information Technology,Electronic Equipment Instruments and Components|NYSE,-7.49
Financials|Banks|BORSA,Financials,Banks|BORSA,0.82
Consumer Goods|Beverages|BIT,Consumer Goods,Beverages|BIT,1.65
Financial|Commodities|NYSE,Financial,Commodities|NYSE,-5.47
Automotive|Automotive|NASDAQ,Automotive,Automotive|NASDAQ,-0.86
Information Technology|Semiconductors|NASDAQ,Information Technology,Semiconductors|NASDAQ,-2.4
Energy|Integrated Oil and Gas|BME,Energy,Integrated Oil and Gas|BME,1.22
Information Technology|Technology Hardware Storage and Peripherals|NYSE,Information Technology,Technology Hardware Storage and Peripherals|NYSE,-5.16
Information Technology|Software|NYSE,Information Technology,Software|NYSE,-8.77
Healthcare|Biotechnology|NASDAQ,Healthcare,Biotechnology|NASDAQ,-7.51
DBK.DE|Financials|Banks|XETRA,DBK.DE,Financials|Banks|XETRA,-0.39301994
STMMI.MI|Technology|Semiconductors|BIT,STMMI.MI,Technology|Semiconductors|BIT,-4.8403573
REP.MC|Energy|Integrated Oil and Gas|BME,REP.MC,Energy|Integrated Oil and Gas|BME,1.215419
CPR.MI|Consumer Goods|Beverages|BIT,CPR.MI,Consumer Goods|Beverages|BIT,1.6540815
ZAL.DE|Consumer Cyclical|Internet Retail|XETRA,ZAL.DE,Consumer Cyclical|Internet Retail|XETRA,0.46695098
MSFT|Information Technology|Software|NASDAQ,MSFT,Information Technology|Software|NASDAQ,1.3826053
BGN.MI|Financials|Banking|BIT,BGN.MI,Financials|Banking|BIT,1.0852666
AI|Information Technology|Software|NYSE,AI,Information Technology|Software|NYSE,-2.51642
EOAN.DE|Utilities|Electric Utilities|XETRA,EOAN.DE,Utilities|Electric Utilities|XETRA,-2.300929
G.MI|Financials|Multi-line Insurance|BIT,G.MI,Financials|Multi-line Insurance|BIT,2.2351847
LLY|Healthcare|Pharmaceuticals|NYSE,LLY,Healthcare|Pharmaceuticals|NYSE,1.08419
ISP.MI|Financials|Banks|BORSA,ISP.MI,Financials|Banks|BORSA,0.82019
RGTI|Technology|Quantum-Computing|NASDAQ,RGTI,Technology|Quantum-Computing|NASDAQ,-7.5409813
GLD|Financial|Commodities|NYSE,GLD,Financial|Commodities|NYSE,-1.9847
PRY.MI|Industrials|Electrical Equipment|BIT,PRY.MI,Industrials|Electrical Equipment|BIT,-2.270192
META|Communication Services|Social Media|NASDAQ,META,Communication Services|Social Media|NASDAQ,-2.4614375
DELL|Information Technology|Technology Hardware Storage and Peripherals|NYSE,DELL,Information Technology|Technology Hardware Storage and Peripherals|NYSE,-5.16138
ERG.MI|Utilities|Renewable Energy|BIT,ERG.MI,Utilities|Renewable Energy|BIT,-1.5625026
BP|Energy|Integrated Oil and Gas|LSE,BP,Energy|Integrated Oil and Gas|LSE,-0.604887
MBG.DE|Automotive|Automotive|XETRA,MBG.DE,Automotive|Automotive|XETRA,-0.9182224
SRG.MI|Energy|Gas Utilities|BIT,SRG.MI,Energy|Gas Utilities|BIT,-0.3257326
TTE.PA|Energy|Oil and Gas Integrated|EPA,TTE.PA,Energy|Oil and Gas Integrated|EPA,-1.4864143
